ID,Structure Domain,Hierarchy Path,Org Level,Org Code,Organization / Unit,Name / Public Node,Exact Public Role,Status Class,Status As Of,AA Relationship,Specific Application Arsenal Relevance,Authority / Engagement Posture,Public Email,Public Phone,Confidence,Primary Source URL,Secondary Source URL,Source Date,Validation / Caveat
1,NIWC PAC core hierarchy,NAVWAR > NIWC Pacific,Command,,NIWC Pacific,"CAPT Kris De Soto, USN",Commanding Officer,Current,2026-05-21,Executive / indirect,"Command authority, priorities, resources, and center accountability above the AA engineering organization.","Not an RFP contact; use only formal, permitted executive engagement.",,,A / High,https://www.dvidshub.net/news/565973/niwc-pacific-welcomes-de-soto-bids-farewell-mckenna,,2026-05-21,Supersedes CAPT Patrick McKenna; the NIWC homepage leadership module was stale during review.
2,NIWC PAC core hierarchy,NAVWAR > NIWC Pacific,Command,,NIWC Pacific,"CAPT Joseph Houser, USN",Executive Officer; second-in-command for day-to-day management,Current,2026-05-21,Executive / indirect,Operational command management and execution oversight; no published AA-specific assignment.,Not an RFP contact.,,,A / High,https://www.dvidshub.net/image/9702435/niwc-pacific-welcomes-de-soto-bids-farewell-mckenna,,2026-05-21,
3,NIWC PAC core hierarchy,NAVWAR > NIWC Pacific,Command,,NIWC Pacific,Michael “Spock” McMillan,Executive Director; senior civilian co-lead,Current,2026-05-21,Executive / indirect,"Senior civilian influence over strategy, workforce, resources, and technical-business direction across the center.",Not an RFP contact.,,,A / High,https://www.dvidshub.net/image/9702430/niwc-pacific-welcomes-de-soto-bids-farewell-mckenna,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,2026-05-21,
4,NIWC PAC core hierarchy,NAVWAR > NIWC Pacific,Command technical leadership,,NIWC Pacific,Chris Raney,Deputy Executive Director and Technical Director,Dated / revalidate,2024-10-11,Technical governance,"Cross-center technical vision, engineering policy, and standards relevant to DevSecOps and systems integration.",Technical leadership; not an RFP contact.,,,B / Medium,https://www.dvidshub.net/podcast/618/next-level-podcast,,2024-10-11,"Status detail: Current-likely; revalidate. No successor found, but no 2025–26 explicit role confirmation located."
5,NIWC PAC core hierarchy,NAVWAR > NIWC Pacific,Command,,NIWC Pacific,MCIT Frank R. Flores II,Command Master Chief,Current,2026-05-21,Fleet/workforce / indirect,"Enlisted and Sailor perspective; indirect relevance to usability, training, and fleet adoption.",Not acquisition authority.,,,A / High,https://www.dvidshub.net/image/9702439/niwc-pacific-welcomes-de-soto-bids-farewell-mckenna,https://www.niwcpacific.navy.mil/Bob-P-TEST-Page/,2026-05-21,
6,NIWC PAC core hierarchy,NIWC Pacific > Office of the Chief Engineer,Center staff office,,Office of the Chief Engineer,Susan Lai,Acting Chief Engineer as of February 2026,Dated / revalidate,2026-02-11,Technical governance,"Center-level systems, software, service, digital engineering, open architecture, APIs, and user-centered design governance.",Technical authority context; not an RFP contact.,,,B / Medium-high,https://www.westconference.org/WEST26/Public/sessions.aspx?ID=116691&View=Sessions,https://www.niwcpacific.navy.mil/About/Office-of-the-Chief-Engineer/,2026-02-11,Status detail: Dated acting role. Acting designation was public in February; September incumbent remains unresolved and is represented separately below.
7,NIWC PAC core hierarchy,NIWC Pacific > Office of the Chief Engineer,Center staff office,,Office of the Chief Engineer,Public gap — September incumbent not identified,Chief Engineer,Public gap,2026-09-02,Technical governance,"Potentially material to AA architecture and engineering rigor, but the current named incumbent is not defensibly public.",Do not infer a person or direct solicitation authority.,,,A / High for office; gap for person,https://www.niwcpacific.navy.mil/About/Office-of-the-Chief-Engineer/,,Accessed 2026-09-02,Status detail: Current function / incumbent unresolved.
8,NIWC PAC core hierarchy,NIWC Pacific > Finance / Comptroller,Department,1.0 / 10000,Finance Department / Comptroller,Public gap — incumbent not identified,Comptroller / Finance Department head,Public gap,2026-09-02,Administrative / indirect,"Funding, audit, and financial controls; no named current head found.",Not a capture engagement target or RFP channel.,,,A / High for unit,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,https://sam.gov/opp/88afa0891a314aa2ae6b0c68d9afff90/view,2026-05 / 2026,Status detail: Current function / incumbent unresolved.
9,NIWC PAC core hierarchy,NIWC Pacific > Inspector General,Center staff office,00I00,Inspector General,Public gap — incumbent not identified,Inspector General,Public gap,2026-09-02,Oversight / none,Oversight and reporting function; no direct AA capture relevance.,Not a capture engagement target.,,,A / High for office,https://www.niwcpacific.navy.mil/Contact/Inspector-General/,,Accessed 2026-09-02,Status detail: Current function / incumbent unresolved.
10,NIWC PAC core hierarchy,NIWC Pacific > Office of Counsel,Center staff office,,Office of Counsel,Public gap — chief counsel not identified,Chief Counsel / legal review,Public gap,2026-09-02,Legal / indirect,Procurement-integrity and legal review context; no named current chief found.,Not an engagement target for the active competition.,,,B / Medium for office,https://www.niwcpacific.navy.mil/About/,,Accessed 2026-09-02,Status detail: Current function / incumbent unresolved.
