ID,Node,Role,Status,IOM Relevance,Code,Domain,Type,Evidence,Confidence,Source Refs,Source URL
1,Target intake,Normalize the ask,Required module,Repeatable start,INTAKE,Research system,Workflow,"Convert a company, org, program, opportunity, or market phrase into scope, hypotheses, boundary rules, and success criteria.",High,S5,https://www.adamboas.com/research/
2,Source register,Evidence spine,Required module,Citation control,SOURCE,Research system,Data,"Carry every public source with URL, use, confidence, extraction notes, stale/blocked caveats, and artifact references.",High,S5,https://www.adamboas.com/research/
3,Authority and org map,Who owns the mission,Required module,Customer truth,ORG,Research system,Diagram/table,"Show command, acquisition, program, technical, contracting, small-business, and delivery chains with public confidence labels.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
4,Contact and office roster,Public engagement map,Required module,Legal outreach routes,POC,Research system,Data,"Track only public professional roles, office routes, public PCOs, OSBP routes, source confidence, and specific relevance.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
5,Opportunity watchlist,What money is moving,Required module,Pipeline creation,OPP,Research system,Data,"Capture value, timing, vehicle, buyer, incumbent, acquisition strategy, status, Sabre fit, gaps, and next action.",High,S3; S4,https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
6,Contract and incumbent lineage,How the work got here,Required module,Transition intelligence,LINEAGE,Research system,Diagram/table,"Link prior award, bridge, current award, forecast, recompete, contract IDs, performers, and unresolved lineage gaps.",High,S2; S3,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/
7,Company ecosystem,Who can win or block,Required module,Partner and threat map,COMPANY,Research system,Data,"Map incumbents, likely bidders, specialist subs, parent-company lineage, vehicles, strengths, risks, and teaming posture.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
8,Competitive posture,Probability-weighted field,Required module,Bid/no-bid evidence,COMPETE,Research system,Analysis,"Rank credible competitors by customer adjacency, technical depth, vehicle eligibility, scale, price posture, and proof gaps.",Medium,S3,https://www.adamboas.com/research/cgcyber-iom/
9,Visual atlas,Interactive SVGs,Required module,Fast executive understanding,VISUAL,Research system,UI,"Create chart tabs for org, opportunity, contract ecosystem, company lineage, and action/roadmap views with pan/zoom controls.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
10,Capture action layer,Next thing to resolve,Required module,Execution leverage,ACTION,Research system,Plan,"Attach owner-ready actions by opportunity: vehicle gate, partner target, incumbent question, source gap, outreach route, and proof artifact.",High,S5,https://www.adamboas.com/research/
11,Watchlist and drift monitor,Change detection,Expansion module,Proactive alerts,WATCH,Research system,Automation,"Monitor APFS, SAM, LRAF, source URLs, company news, and public award records for date/status/value/incumbent changes.",Medium,S5,https://www.adamboas.com/research/
12,Verification and publish gate,Quality control,Required module,Trust,VERIFY,Research system,Workflow,"Run generator, CSV/SVG parse, build, research regression, mobile overflow, noindex/robots checks, production smoke, and source sanity.",High,S5,https://www.adamboas.com/research/
