ID,Opportunity,Focus,Customer / Buyer,Opportunity Type,Due Date,Notice ID,Vehicle / Access,Value / Timing,Bid Posture,Sabre Fit / Why Winnable,Next Action,Confidence,Source URL
1,PMX-281 Program/Project Management Services,"NAVAIR PMX-281 program, acquisition, config, budget, and IPT support",NAVAIR NAWCAD,Sources Sought,2026-09-10,N00421-26-RFPREQ-WPM281-0139,TBD from SAM/PIEE; immediate docs pull required,Near-term response; value not resolved in scan,Prime / immediate response,"Cleanest immediate Sabre fit: direct NAVAIR lane, program/project management, acquisition, configuration, budget, and IPT support.","Pull attachments/PIEE package, map Sabre NAVAIR past performance, and decide response owner today.",High,https://sam.gov/opp/c045ac4999684451bd062d4eed7ad5d2/view
2,Application Arsenal Enterprise Engineering and Lifecycle Support,"Application Arsenal software engineering, sustainment, lifecycle, and platform support",NIWC Pacific,Solicitation,2026-09-30,N6600126R3507,SeaPort/solicitation access gate; validate prime/team posture,AA recompete; public ceiling unresolved,Gate as active pursuit,Direct software factory and lifecycle support pursuit already mapped in the NIWC PAC AA block.,"Confirm vehicle eligibility, final Section L/M, incumbent transition route, and AA PM/COR/TCA public gaps.",High,https://sam.gov/opp/b97c5c5becf542398697517bff5e0be2/view;https://www.adamboas.com/research/niwc-pac/
3,MARCORSYSCOM Product Support Analysis RFI,Centralized logistics product data repository / COTS software,Marine Corps Systems Command,Sources Sought,2026-09-24,M67854-27-I-0507,RFI; later acquisition path TBD,Future software-backed product-support opportunity,Prime-capable response,"DoW expansion with software, data, product-support architecture, and lifecycle-process relevance without requiring exotic SOC incumbency.","Respond with COTS/software repository, data governance, integration, and sustainment modernization story.",High,https://sam.gov/opp/4424cf7e89f14e8d8de76d7815894915/view
4,SSC Operational Test and Training Readiness DevSecOps RFI,Secure multi-node DevSecOps architecture and validation environment,Space Systems Command / OTTI,Sources Sought,2026-09-11,OTTI_2026_RFI_SpecDevOps,RFI; consortium/contracting approach unresolved,Short-fuse market research,Team or prime if proof maps cleanly,"Strong technical alignment to secure software delivery, platform engineering, and test/training readiness.",Triage immediately; decide if Sabre has enough DevSecOps architecture proof or needs a partner anchor.,Medium-High,https://sam.gov/opp/9b5ad3bd78014b608b34cda274bcd1c4/view
5,Platform One Software Industry Day,Software factory / DevSecOps ecosystem entry and industry engagement,AFLCMC/HNCK / Platform One,Sources Sought / Industry Day,2026-09-11,FA8307-SW-SWID,Industry day survey; future acquisition shaping,Market-entry doorway,Submit / shape,"Not a proposal by itself, but a real channel into a software factory ecosystem that rhymes with AA and secure platform adoption.","Submit concise value prop around mission-app delivery, secure platform adoption, and measurable DevSecOps outcomes.",Medium-High,https://sam.gov/opp/138575fdf0d649a5b3f62db5102a2c21/view
6,Team Submarine Combat Systems Follow-On,"Combat systems contractor support, PM, engineering, financial/business management",NUWC Newport / Team Submarine,Presolicitation / Advance Notice,2026-10-15,N6660426R3104_ADVANCE_NOTICE,Likely Navy support vehicle path; validate access and teaming,Follow-on acquisition window,Team / selective prime diligence,"Navy C5ISR/combat-systems support aligns with Sabre systems engineering and mission support, but likely needs incumbent/vehicle mapping.","Build incumbent, vehicle, and teaming map before treating as prime pursuit.",Medium-High,https://sam.gov/opp/1343c14ec7504509a5d6ae5169dab206/view
7,"NGA FS3i Foundation Sustainment Support, Software and Integration","Foundation software sustainment, support, and integration",National Geospatial-Intelligence Agency,Presolicitation,2026-09-30,HM047625R0016_Bidder_Library,Bidder-library / access gate; likely competitive large software sustainment,Near-term presolicitation package,Partner unless access is already real,Fourth Estate software sustainment and integration target; aligned technically but customer access may be the hard gate.,"Check NGA access/past performance, bidder-library eligibility, incumbent, and likely partner lanes.",Medium,https://sam.gov/opp/107fbc1616134a41b432446eaa5078a9/view
8,NAVWAR GenAI EPSS,Generative AI electronic performance support under NAVWAR CSO,NAVWAR,Solicitation / CSO AOI,2026-09-17,N0003926R9450,NAVWAR CSO,Short-fuse AOI response,Respond only with concrete use-case package,"AI workflow/adoption/performance support can fit Sabre if framed around operational adoption, training, and measurable support outcomes.","Decide whether Sabre can produce a credible EPSS concept, demo/storyboard, and delivery team fast.",Medium,https://sam.gov/opp/74a7dc507af64912bd1c3858d31eea96/view
9,Joint Cyber Command and Control anticipated acquisitions,Cyber command-and-control and C2 mission systems acquisition planning,AFLCMC/HNCK,Special Notice,No response date listed,FA8307HNCKJ,Anticipated-acquisitions notice; future notices likely,Strategic watch / relationship map,"Track hard / shape, not bid-now","Strategically important CGCYBER-like C2/cyber mission surface, but too broad and early to call winnable today.","Build relationship, acquisition, and teaming map; monitor for specific releases.",Medium,https://sam.gov/opp/38edcb86c0e24c6aa6850928b3a474fa/view
10,Cyber Warfare Mission Systems / Cyber Modernization BAA,"Cyber modernization concepts, cyber mission systems, and future calls",AFLCMC/HNCK,BAA / Special Notice,2027-04-16,CWMS_BAA_2023,BAA call-dependent white papers,Open BAA through 2027,White paper / thought-leadership,"Good technical credibility and concept-shaping surface, but not a normal winnable services bid unless a specific call fits Sabre.",Monitor calls; prepare cyber/C2 modernization concept only when a call matches Sabre proof.,Medium,https://sam.gov/opp/3e04d43bf6494d3c941036c75863a20a/view
