ID,When,Owner,Action,Output,Priority
1,D0-1,Capture lead,"Verify eBuy access, exact SIN pool, HACS subgroup, APFS release status, and official inquiry path",Vehicle gate and official inquiry log,High
2,D0-2,Competitive lead,"Resolve current CuOps, FuOps, Ops Support contract IDs and prime/sub performers",Incumbent lineage memo,High
3,D1-3,Partner lead,"Diligence NetCentrics, OneOmega, GovCIO, Synergy, AveningTech, and one scalable SOC alternative","Prime intent, exclusivity, conflicts, and evidence file",High
4,D1-4,Solution lead,Build CGCC-33/35/Ops Support operating model and adjacent-contract interface map,Solution v0.7 and RACI,High
5,D2-5,Staffing lead,"Identify PM, Ops Director, watch leads, hunt/IR, FuOps, security, training, and transition key staff",Named staffing heat map,High
6,D3-6,Pricing lead,Create workload-based FFP model at $105M/$125M/$150M and 80/100/125 FTE,BOE and risk reserve,High
7,D4-7,Past performance,Select three exact-comparable references and map proof gaps,Evidence matrix and reference permissions,High
8,D6-8,Red team,"Score likely evaluation, transition, price, and OCI attacks",Discriminator and weakness closure plan,Medium-high
9,D8-9,Executive team,"Run Gate 0 across vehicle, customer, competition, team, solution, staffing, price, and risk",Prime / sub / no-bid decision,High
10,D10,Capture lead,Lock team instruments and launch RFQ-response room,Signed teaming path and proposal calendar,High
