ID,Entity,Tier,Recommended Posture,Power Base,Gap / Vulnerability,Vehicle,Confidence,Source Refs,Source URL
1,Global opportunity dashboard,Next build,Build now,"One cockpit across NIWC PAC AA, CGCYBER IOM, NAE, and future blocks: value, timing, buyer, vehicle, incumbent, Sabre fit, team need, confidence, next action.",No unified cross-block data model yet.,Research index + all blocks,High,S2; S3; S4; S5,https://www.adamboas.com/research/; https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
2,Deep-dive pages per opportunity,Next build,Build after dashboard,"Create one-page pursuit briefs for TARCES, EXCOMM XI, CGCYBER IOM, AA recompete, PMA-290, AIRWorks, T-6/T-34 CLS, and Cyber Warfare Services IDIQ.",Need stable priority ranking and source gap list.,Opportunity-specific pages,High,S3; S4; S5,https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
3,Cross-block company graph,Expansion,Build after dashboard,"Show where the same primes/subs appear across Navy, USCG, C5I, cyber, software, aviation, and AA work.",Company records live in separate block CSVs today.,"GovCIO, Synergy, Atlas, Forward Slope/Accelint/Lyntris, NetCentrics, Booz, GDIT, CACI, BAE, StraCon",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
4,Contact graph,Expansion,Build after company graph,"Create a public-professional contact graph grouped by government POC, OSBP/vendor route, command leadership, technical stakeholder, incumbent/company lead, event signal.",Must preserve ethics boundaries and avoid private-person targeting.,Research-wide contact roster,High,S2; S3; S4; S5,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/; https://www.adamboas.com/research/
5,Incumbent lineage timelines,Expansion,Build for top pursuits,"For each big seam, show prior award, bridge, current order, recompete, forecast, contract IDs, and unresolved performer gaps.",Some incumbent bridges are not public and must be labeled unresolved.,"AA, CGCYBER NOSC/CuOps, IARMS, IMS/IPSS, NAE opportunity incumbents",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
6,Automated watchlist,Automation,Build after dashboard,"Monitor APFS/SAM/LRAF/source URLs for release dates, award shifts, value changes, set-aside changes, incumbent changes, and dead links.",Needs source registry schema and alert rules.,"APFS, SAM, LRAF, USAspending, official pages, company news",Medium,S5,https://www.adamboas.com/research/
7,Capture action layer,Execution,Build into dashboard,"Replace generic sprint tables with concise next-resolution fields per opportunity: vehicle gate, partner target, incumbent question, source gap, outreach route.",Need owner/status fields if this becomes operational task management.,All priority opportunities,High,S5,https://www.adamboas.com/research/
8,Better UX across research,UI,Continuous,"Add global search, shared filters, compare-opportunities view, source-confidence badges, update history, and PNG/CSV/PDF export controls.",Need common components instead of repeated Astro sections.,Research system,Medium,S2; S3; S4; S5,https://www.adamboas.com/research/; https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
9,NAE plan,Current block,Expand,"Prioritize top-value NAWCAD rows, build PMA-by-PMA deep dives, pull SAM/USAspending award lineage, add named PEO/PMA contacts where public, and score Sabre fit.",NAVAIR site blocks lightweight fetch; use LRAF/PDF/SAM/official anchors carefully.,NAE / NAVAIR,High,S4,https://www.adamboas.com/research/naval-aviation-enterprise/
10,CGCYBER IOM plan,Current block,Expand,"Turn IOM into a pursuit brief: RFQ watch, vehicle/SIN gate, incumbent bridge hunt, SOC/CSSP partner short list, transition model, price/FTE stress model.",Current CuOps/FuOps/Ops Support bridge remains unresolved publicly.,CGCYBER IOM,High,S3,https://www.adamboas.com/research/cgcyber-iom/
11,NIWC PAC AA plan,Current block,Expand,"Build AA recompete deep dive: Code 53/532/53200 stakeholder map, Forward Slope/Accelint/Lyntris lineage, current award trail, adjacent OSA/ACS seams, source-gap list.",No public current AA PM/COR/TCA lead found yet; retain public-gap labels.,NIWC PAC / Application Arsenal,High,S2,https://www.adamboas.com/research/niwc-pac/
