ID,Program,Prime,Status,IOM Seam / Relevance,Award / Forecast ID,Value / Term,Scope,Confidence,Source Refs,Source URL
1,Target definition,Company / org / opportunity name,Input field,Scope lock,TARGET,"Example: NIWC PAC AA, CGCYBER IOM, NAE, Forward Slope, NetCentrics, PMA-290.",High,S5,https://www.adamboas.com/research/
2,Research question,What decision it supports,Input field,Output alignment,QUESTION,"Examples: pursue as prime, identify POCs, understand incumbent lineage, build capture plan, find opportunities.",High,S5,https://www.adamboas.com/research/
3,Boundary and ethics rules,Public-source-only guardrails,Input field,Compliance,BOUNDARY,"Exclude private contact data, procurement-sensitive information, impersonation, personal targeting, and unsupported claims.",High,S5,https://www.adamboas.com/research/
4,Mission owner,Customer authority,Output field,Org map,CUSTOMER,"Command, component, program office, directorate, acquisition authority, technical authority, and operating unit.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
5,Buyer and vehicle,How it buys,Output field,Opportunity gate,BUYER,"Contracting office, PCO, APFS/SAM/LRAF row, GSA/SIN, SeaPort, IDIQ, BPA, set-aside, full/open, or unknown.",High,S3; S4,https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
6,Incumbent and lineage,Who owns current truth,Output field,Transition,INCUMBENT,"Prime, subcontractors, predecessor awards, bridges, recompetes, legal-name changes, parent ownership, and confidence.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
7,Contacts and routes,Who can be contacted lawfully,Output field,Engagement,CONTACT,"Public PCOs, OSBP, vendor-relations, official office mailboxes, command/public-affairs routes, and named professional roles.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
8,Competitors and team shape,Who matters commercially,Output field,Partnering,TEAM,"Likely primes, specialist subs, current adjacent performers, vehicle-fit issues, past performance, and preferred posture.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
9,Sabre fit,Why us / why not,Output field,Bid decision,FIT,"Score mission adjacency, technical proof, contract vehicle, scale, staffing, customer access, price confidence, and differentiators.",High,S5,https://www.adamboas.com/research/
10,Gaps and collection plan,What must be resolved,Output field,Next action,GAP,"Call out unknown incumbent, missing branch chief, RFQ not released, vehicle ambiguity, staffing proof, price volumes, or source contradictions.",High,S3; S4,https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
11,Deliverables,What gets published,Output field,Research block,DELIVER,"Interactive page, SVG charts, CSV tables, source register, downloadable assets, verification notes, and update history.",High,S2; S3; S4,https://www.adamboas.com/research/niwc-pac/; https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
12,Watch cadence,How it stays alive,Output field,Automation,CADENCE,"Daily/weekly/triggered checks for APFS, SAM, LRAF, official pages, award feeds, company press releases, and source health.",Medium,S5,https://www.adamboas.com/research/
