ID,Node,Code,Role,Domain,Type,Evidence,IOM Relevance,Status,Confidence,Source Refs,Source URL
1,Department of Homeland Security,DHS,Parent department / APFS owner,Governance,Authority,Owns DHS APFS record and department-level acquisition visibility.,Opportunity owner,Current official,High,S1,https://apfs-cloud.dhs.gov/record/73117/public-print/
2,U.S. Coast Guard,USCG,DHS component / armed service,Governance,Authority,Mission and funding component for CGCYBER and C5I enterprise.,Mission owner,Current official,High,S2;S3;S4,https://www.dco.uscg.mil/Our-Organization/CGCYBER/; https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-Acquisitions-CG-9/About-Us/Leadership/; https://www.mycg.uscg.mil/News/Article/4226097/uscg-hq-is-reorganizing-to-better-serve-the-nations-finest-fighting-force/
3,DCO / Coast Guard Cyber Command,CGCYBER,Operational cyber command,Operations,Mission owner,"Cyber mission execution, requirements, operations rhythm, and performance outcomes.",Direct IOM customer,Current official,High,S2,https://www.dco.uscg.mil/Our-Organization/CGCYBER/
4,RDML Jason P. Tama,CGCYBER,"Commander, CGCYBER",Operations,Senior leader,"Command outcomes, mission risk, and strategic cyber direction.",Direct IOM customer,Current named POC,High,S2,https://www.dco.uscg.mil/Our-Organization/CGCYBER/
5,CAPT Joseph E. Meuse,CGCYBER,Deputy Commander,Operations,Senior leader,"Operational integration, readiness, and execution continuity.",Direct IOM customer,Current named POC,High,S2,https://www.dco.uscg.mil/Our-Organization/CGCYBER/
6,CAPT Boris Montatsky,CGCYBER,Director of Operations,Operations,Senior leader,"Likely technical mission stakeholder for CuOps, FuOps, DODIN, and operations support integration.",Direct IOM mission stakeholder,Current named POC,High,S2,https://www.dco.uscg.mil/Our-Organization/CGCYBER/
7,CGCC-2 Cyber Intelligence,CGCC-2,Cyber Intelligence Department,Operations,Department,"Threat intelligence support to CGCC-3 and collaboration with CG, IC, DHS, and DoD.",Threat / intel seam,Current office,High,S2,https://www.dco.uscg.mil/Our-Organization/CGCYBER/
8,CGCC-3 Operations Department,CGCC-3,Operations Department,Operations,Department,"Umbrella for Current Operations, Future Operations, DODIN, and Effects / Protection.",IOM operating center,Current office,High,S2,https://www.dco.uscg.mil/Our-Organization/CGCYBER/
9,CGCC-33 Current Operations,CGCC-33,Current Operations Division,Operations,Division,"Likely 24x7 operational monitoring, response, coordination, and battle rhythm core.",Direct IOM / CuOps core,Current office,High,S1;S2;S40,https://apfs-cloud.dhs.gov/record/73117/public-print/; https://www.dco.uscg.mil/Our-Organization/CGCYBER/; https://govtribe.com/opportunity/federal-forecast/coast-guard-cyber-command-current-operations-cybersecurity-services-dhsforecastf2025070259
10,CGCC-35 Future Operations,CGCC-35,Future Operations Division,Operations,Division,"Planning, exercises, requirements, operational design, and future capability integration.",Direct IOM / FuOps core,Current office,High,S1;S2;S41,https://apfs-cloud.dhs.gov/record/73117/public-print/; https://www.dco.uscg.mil/Our-Organization/CGCYBER/; https://www.highergov.com/contract-forecast/uscg-cgcyber-future-operations-fuops-support-ser-1131299/
