ID,Title,URL,Use
S1,"DHS APFS - CGCYBER Integrated Operations Management, F2026073117",https://apfs-cloud.dhs.gov/record/73117/public-print/,Opportunity facts and change log
S2,U.S. Coast Guard Cyber Command,https://www.dco.uscg.mil/Our-Organization/CGCYBER/,"Mission, departments, divisions, command"
S3,USCG Systems Integration Directorate leadership,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-Acquisitions-CG-9/About-Us/Leadership/,"DCS, PEO C5I/Cyber and CIO"
S4,USCG Force Design headquarters reorganization,https://www.mycg.uscg.mil/News/Article/4226097/uscg-hq-is-reorganizing-to-better-serve-the-nations-finest-fighting-force/,DCS and PEO structure
S5,C5ISC leadership,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Leadership/,"Commanding officer, executive director, workforce scale"
S6,C5ISC organization,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/,Six product lines and five shared-services divisions
S7,C5ISC vendor outreach,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Vendor-Outreach/,Official industry engagement route
S8,Brian D. Campo official USCG biography,https://www.uscg.mil/Biographies/Display/Article/4411473/mr-brian-d-campo/,"Current Director, Technology Readiness / CDAO"
S9,Sabre welcomed Brian Campo as VP in 2018,https://thebaynet.com/sabre-systems-welcome-two-key-leaders-to-company-html/,Historical Sabre role
S10,USCG Digital Transformation Strategy,https://www.mycg.uscg.mil/News/Article/4484566/coast-guard-releases-digital-transformation-dtx-strategy/,CG-TECH priorities and Technology Readiness office
S11,Washington Technology - OneOmega wins $160M USCG cyber contract,https://www.washingtontechnology.com/contracts/2025/08/small-business-joint-venture-wins-coast-guard-cyber-contract/407795/,"IARMS award, JV and task areas"
S12,Alpha Omega - OneOmega $160M IARMS announcement,https://alphaomega.com/news/oneomega-wins-160m-u-s-coast-guard-idiq/,Awardee description and recompete claim
S13,GovTribe - OneOmega IARMS delivery order,https://govtribe.com/award/federal-contract-award/delivery-order-70z04425desd40001-70z04425fcad20001,Award identifiers and task-order metadata
S14,"GovTribe - IMS BPA, Knight Point Systems",https://govtribe.com/award/federal-idv-award/blanket-purchase-agreement-70z07923aisd20001,"$345.3M task, partners, scope"
S15,HigherGov - Variable Infrastructure Award forecast,https://www.highergov.com/contract-forecast/uscg-variable-infrastructure-award-via-1127411/,IMS follow-on scope and stale forecast
S16,Washington Technology - BLMSS cancelled,https://www.washingtontechnology.com/contracts/2025/07/coast-guard-shuts-door-500m-logistics-recompete/406997/,Cancellation and displaced scope
S17,HigherGov - Atlas C5ISR engineering order,https://www.highergov.com/contract/N0017819D7193-N6523625F3024/,"$220.9M, 2025-2030, 234 estimated FTE"
S18,Atlas Technologies - USCG C5ISR award,https://www.atlas-tech.com/atlas-tech-secures-strategic-contract-to-advance-u-s-coast-guard-mission-readiness/,Awardee capability framing
S19,HigherGov - Synergy C5I sustainment order,https://www.highergov.com/contract/75N98120D00084-70Z0G326FESD30002/,$31.6M bridge and one-bid award
S20,DHS APFS - Agile COMPASS STEW sustainment call,https://apfs-cloud.dhs.gov/record/74167/public-print/,"$50-100M follow-on, Synergy incumbent"
S21,Synergy - U.S. Coast Guard customer page,https://www.synergybis.com/customers/uscg/,"Applications, cloud, DevSecOps and cyber claims"
S22,Iona Moon - AveningTech USCG cyber SME award,https://www.ionamoon.com/news,Historical NIPR/SIPR/JWICS CND work
S23,USAspending - NetCentrics NOSC order 70Z07922FCYBR0002,https://www.usaspending.gov/award/CONT_AWD_70Z07922FCYBR0002_7008_GS35F0579P_4730,Historical NOSC order
S24,HigherGov - NetCentrics MAS GS35F0579P,https://www.highergov.com/idv/GS35F0579P/,Legacy USCG NOSC lineage
S25,NetCentrics - GSA MAS,https://netcentrics.com/contract-vehicle/gsa-mas/,54151S / HACS and SOC services
S26,NetCentrics - Cerberus partnership,https://netcentrics.com/2021/09/netcentrics-partners-with-cerberus-to-drive-long-term-growth/,Ownership change
S27,GSA eLibrary - Sabre Systems GS-35F-366BA,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/contractorInfo.do?contractNumber=GS-35F-366BA,Current MAS SINs 54151HACS and 54151S
S28,GSA - HACS SIN,https://www.gsa.gov/technology/it-contract-vehicles-and-purchasing-programs/multiple-award-schedule-it/highly-adaptive-cybersecurity-services,HACS scope
S29,GSA - MAS Contractor Team Arrangements,https://www.gsa.gov/sell-to-government/step-1-learn-about-government-contracting/how-to-access-contract-opportunities/help-with-mas-contracts-to-sell-to-government/team-up-with-other-mas-contractors,CTA rules and benefits
S30,GSA eLibrary - OneOmega MAS 47QTCA24D0084,https://www.highergov.com/idv/47QTCA24D0084/,54151S and OLM; no public HACS listing
S31,GSA eLibrary - Booz Allen MAS,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/contractorInfo.do?contractNumber=GS-35F-386DA,54151HACS and 54151S
S32,GSA eLibrary - GDIT MAS,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/contractorInfo.do?contractNumber=GS-35F-393CA,54151HACS and 54151S
S33,GSA eLibrary - CACI NSS MAS,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/contractorInfo.do?contractNumber=GS-35F-349CA,54151HACS and 54151S
S34,GSA eLibrary - GovCIO / Salient CRGT MAS,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/pdf/contractorInfo.do?contractNumber=47QTCK18D0060,54151HACS and 54151S
S35,GovCIO - USCG Infrastructure Product Support Services,https://govcio.com/uscoastguard-infrastructure-product-support-services-ipss/,Vendor-confirmed active USCG program
S36,HigherGov - Product Support Service Desk forecast,https://www.highergov.com/contract-forecast/product-support-service-desk-pssd-1101195/,Application service desk adjacency
S37,HigherGov - Microsoft Unified Support,https://www.highergov.com/contract-opportunity/dhs-coast-guard-microsoft-unified-support-serv-rfq1665832-o-dac04/,Classified C5ISC enterprise support adjacency
S38,SAM.gov - SANS cyber training notice,https://sam.gov/opp/bd25c884fe254918b6a31d01a24c356b/view,Cyber workforce pipeline
S39,GovConWire - DCS systems support forecast,https://www.govconwire.com/articles/uscg-acquisition-forecast-100m-dcs-support,DCS transformation and acquisition adjacency
S40,GovTribe - archived CGCYBER CuOps forecast,https://govtribe.com/opportunity/federal-forecast/coast-guard-cyber-command-current-operations-cybersecurity-services-dhsforecastf2025070259,Legacy Current Operations scope
