ID,Entity,Tier,Recommended Posture,Power Base,Gap / Vulnerability,Vehicle,Confidence,Source Refs,Source URL
1,GovCIO / Knight Point,T1 interface,Engage as infrastructure-interface partner or threat,USCG IMS/IPSS infrastructure seam,Not direct SOC operations proof,MAS / HACS path,High,CGCYBER,https://www.adamboas.com/research/cgcyber-iom/
2,Synergy,T1 interface,Treat as C5I apps / DevSecOps interface,USCG C5I bridge and COMPASS incumbent signal,Limited public 24x7 cyber-ops proof,MAS 54151S signal,High,CGCYBER,https://www.adamboas.com/research/cgcyber-iom/
3,Forward Slope / Accelint / Lyntris,AA incumbent lineage,Track for AA recompete and transition knowledge,AA/Storefront award trail and current Accelint identity,Current AA PM/COR/TCA not public,Contract-specific,High,NIWC PAC AA,https://www.adamboas.com/research/niwc-pac/
4,NetCentrics,T1 legacy cyber,Diligence target for current CGCYBER bridge/staff,Historical NOSC/CuOps lineage,Last direct public order ended Jan 2024,MAS / HACS claimed,High,CGCYBER,https://www.adamboas.com/research/cgcyber-iom/
5,OneOmega,T1 cyber-adjacent,Resolve IARMS boundary and OCI posture,Current $160M IARMS award,HACS status and operational boundary unclear,MAS 54151S / OLM,High,CGCYBER,https://www.adamboas.com/research/cgcyber-iom/
6,Atlas Technologies,T2 engineering,Consider for maritime C5ISR/field engineering seam,Current $220.9M USCG C5ISR engineering order,Cyber-ops prime fit not public,Vehicle fit unresolved,High,CGCYBER,https://www.adamboas.com/research/cgcyber-iom/
7,BAE Systems,NAE incumbent,Map C5ISR/mission-system role by opportunity,Public NAE incumbent/company row,Specific bid intent unknown,Opportunity-specific,Medium,NAE,https://www.adamboas.com/research/naval-aviation-enterprise/
8,StraCon,NAE incumbent,Track PMA-272 and PMA support opportunities,PMA support / ATAPS connection in NAE table,Need current team/vehicle posture,Opportunity-specific,Medium,NAE,https://www.adamboas.com/research/naval-aviation-enterprise/
9,CRL Technologies,NAE incumbent,Track AIRWorks and rapid engineering role,AIRWorks-related NAE company signal,Need deeper award lineage,Opportunity-specific,Medium,NAE,https://www.adamboas.com/research/naval-aviation-enterprise/
10,Booz Allen / GDIT / CACI NSS,Scale wildcards,Monitor as HACS scale partners or competitors,"Cyber/IT scale, HACS eligibility, broad federal footprint",No direct public IOM lineage found,MAS HACS / 54151S,Medium,CGCYBER / NAE,https://www.adamboas.com/research/cgcyber-iom/; https://www.adamboas.com/research/naval-aviation-enterprise/
