ID,Program,Award / Forecast ID,Prime,Value / Term,Scope,IOM Seam / Relevance,Status,Confidence,Source Refs,Source URL
1,CGCYBER IOM,Forecast F2026073117,Unknown,> $100M forecast; FFP; GSA Schedule; RFQ forecast 23 Sep 2026; Q1 FY2027 award; completion 3 Jan 2032,"CuOps, FuOps, Ops Support consolidation; possible CGCC-36/37/AA seams",Direct target opportunity,Forecast active,High,S1,https://apfs-cloud.dhs.gov/record/73117/public-print/
2,Legacy CuOps,Archived forecast F2025070259,Unknown,"$10-20M forecast; SDVOSB signal; 24x7 SOC, incident response, hunting, CGEMP/NIPR/SIPR",Likely absorbed into IOM operations core,Direct Current Operations lineage,Archived / absorbed,High,S1;S40,https://apfs-cloud.dhs.gov/record/73117/public-print/; https://govtribe.com/opportunity/federal-forecast/coast-guard-cyber-command-current-operations-cybersecurity-services-dhsforecastf2025070259
3,Legacy FuOps,Archived forecast,Unknown,"$10-20M forecast; VETS 2 / SDVOSB signal; DCO planning, toolsets, web/apps, NIPR/SIPR/JWICS",Likely absorbed into IOM planning and engineering core,Direct Future Operations lineage,Archived / absorbed,High,S1;S41,https://apfs-cloud.dhs.gov/record/73117/public-print/; https://www.highergov.com/contract-forecast/uscg-cgcyber-future-operations-fuops-support-ser-1131299/
4,IARMS,70Z04425DESD40001 / 70Z04425FCAD20001,OneOmega JV,$160M IDIQ over 5 years; first task reported about $45.9M,"ISSO, ISSE, SCA, cyber compliance/readiness, site and vessel assessments",Direct CGCC-AA / RMF / compliance seam,Active,High,S11;S12;S13,https://www.washingtontechnology.com/contracts/2025/08/small-business-joint-venture-wins-coast-guard-cyber-contract/407795/; https://alphaomega.com/news/oneomega-wins-160m-u-s-coast-guard-idiq/; https://govtribe.com/award/federal-contract-award/delivery-order-70z04425desd40001-70z04425fcad20001
5,IMS,70Z07923AISD20001 / 0002,Knight Point Systems / GovCIO; Blue Tech second BPA,$345.3M task reported; program ceiling $869M,"Stabilize, secure, and modernize enterprise IT; C5I integration","Infrastructure, tools, networks, service management upstream seam",Active,High,S14,https://govtribe.com/award/federal-idv-award/blanket-purchase-agreement-70z07923aisd20001
6,IPSS,Unresolved public award metadata,GovCIO,Vendor-confirmed active program,Infrastructure Product Support Services,Likely IMS delivery / successor branding; validate exact metadata,Active / unresolved,Medium-high,S35,https://govcio.com/uscoastguard-infrastructure-product-support-services-ipss/
7,Variable Infrastructure Award (VIA),Forecast F2025070444,IMS follow-on market,> $100M; planned 2026-2036,"BOAs plus single VIA-Sustain call for network, IT security, service desk, assets",Future infrastructure boundary; stale forecast,Watch,Medium,S15,https://www.highergov.com/contract-forecast/uscg-variable-infrastructure-award-via-1127411/
8,NOSC support,70Z07922FCYBR0002 / GS35F0579P,NetCentrics,$11.77M; public PoP ended Jan 2024,Network Operations Security Center support,Best public historical CuOps/NOSC lineage; current incumbent unresolved,Historical,High,S23;S24,https://www.usaspending.gov/award/CONT_AWD_70Z07922FCYBR0002_7008_GS35F0579P_4730; https://www.highergov.com/idv/GS35F0579P/
9,Cyber SME / CND,70Z07918FPNZ00200 / GS35F614GA,AveningTech,About $5.6M; 2018-2019,"NIPR/SIPR/JWICS CND technical, operational, administrative, and security support",Historical exact-language CND adjacency,Historical,High,S22,https://www.ionamoon.com/news
10,C5I sustainment bridge,70Z0G326FESD30002,Synergy,$31.6M; Mar 2026-Mar 2027; one bid,Maintenance and support for CG-C5I systems/applications,"Active application, DevSecOps, cyber, and workforce knowledge seam",Active,High,S19;S21,https://www.highergov.com/contract/75N98120D00084-70Z0G326FESD30002/; https://www.synergybis.com/customers/uscg/
