ID,Entity,Tier,Power Base,Gap / Vulnerability,Vehicle,Recommended Posture,Confidence,Source Refs,Source URL
1,NetCentrics,Tier 1,Historical NOSC / CG cyber TTPs; SOC/HACS positioning; cleared workforce,Last direct public NOSC PoP ended Jan 2024; current bridge and staff retention unresolved,MAS 54151S / HACS claimed,First-choice diligence target or primary threat if current role and named staff can be verified,High,S23;S24;S25;S26,https://www.usaspending.gov/award/CONT_AWD_70Z07922FCYBR0002_7008_GS35F0579P_4730; https://www.highergov.com/idv/GS35F0579P/; https://netcentrics.com/contract-vehicle/gsa-mas/; https://netcentrics.com/2021/09/netcentrics-partners-with-cerberus-to-drive-long-term-growth/
2,OneOmega,Tier 1,Current $160M IARMS; RMF evidence and site/vessel exposure,"IOM boundary, OCI, and HACS-only eligibility questions",MAS 54151S; no public HACS listing found,Selective interface or teaming dialogue after resolving IARMS boundary and conflicts,High,S11;S12;S13;S30,https://www.washingtontechnology.com/contracts/2025/08/small-business-joint-venture-wins-coast-guard-cyber-contract/407795/; https://alphaomega.com/news/oneomega-wins-160m-u-s-coast-guard-idiq/; https://govtribe.com/award/federal-contract-award/delivery-order-70z04425desd40001-70z04425fcad20001; https://www.highergov.com/idv/47QTCA24D0084/
3,GovCIO / Knight Point,Tier 1,"Controls enterprise infrastructure, tools, networks, C5I integration under IMS/IPSS",Infrastructure managed services are not the same as cyber command operations,GovCIO MAS 54151HACS + 54151S,Infrastructure/interface partner without surrendering prime control,High,S14;S34;S35,https://govtribe.com/award/federal-idv-award/blanket-purchase-agreement-70z07923aisd20001; https://www.gsaelibrary.gsa.gov/ElibMain/home.do/pdf/contractorInfo.do?contractNumber=47QTCK18D0060; https://govcio.com/uscoastguard-infrastructure-product-support-services-ipss/
4,Synergy,Tier 1,"Deep C5ISC applications, DevSecOps, cloud, audit mitigation; active bridge and COMPASS","Thin public 24x7 watch-floor, hunt, incident-command, or DODIN proof",MAS 54151S; no public HACS found,Application/DevSecOps interface partner or operations-gap contrast,High,S19;S20;S21,https://www.highergov.com/contract/75N98120D00084-70Z0G326FESD30002/; https://apfs-cloud.dhs.gov/record/74167/public-print/; https://www.synergybis.com/customers/uscg/
5,Atlas Technologies,Tier 2,Current $220.9M USCG C5ISR engineering order and maritime integration scale,Cyber ops / HACS prime fit not public,Vehicle fit for IOM unconfirmed,Maritime engineering or field-integration teammate; prime only with cyber lead,Medium-high,S17;S18,https://www.highergov.com/contract/N0017819D7193-N6523625F3024/; https://www.atlas-tech.com/atlas-tech-secures-strategic-contract-to-advance-u-s-coast-guard-mission-readiness/
6,Booz Allen,Tier 2,"HACS, federal cyber scale, mission consulting, cleared talent",No public IOM/USCG operational lineage found in package,MAS HACS / 54151S,Credible generic large prime if it obtains a Coast Guard transition anchor,Medium,S31,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/contractorInfo.do?contractNumber=GS-35F-386DA
7,GDIT,Tier 2,"HACS, large network/cyber operations bench, staffing machinery",No public IOM-specific lineage; large-business cost structure,MAS HACS / 54151S,Scale and surge actor; strongest if paired with a Coast Guard incumbent,Medium,S32,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/contractorInfo.do?contractNumber=GS-35F-393CA
8,CACI NSS,Tier 2,"HACS, scale, cyber and enterprise IT",Convenient CuOps mapping is demonstrably unrelated CISA work,MAS HACS / 54151S,"Keep as generic credible bidder, not favored incumbent",Medium-high,S33;S42,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/contractorInfo.do?contractNumber=GS-35F-349CA; https://www.usaspending.gov/award/CONT_AWD_47QFRA24F0005_4732_47QTCK18D0009_4732
9,AveningTech,Tier 2 / sub,Historical exact-scope NIPR/SIPR/JWICS CND and CGCYBER SME work,"Performance is 2018-2019; current team, vehicle, and customer standing need validation",Current eligibility must be checked,High-value niche sub if it still has personnel and references,Medium-high,S22,https://www.ionamoon.com/news
10,MetTel,Tier 3 / sub,"Managed network/security, SD-WAN/SASE, federal telecom capability",No direct IOM award or MAS professional-services prime evidence found,Telecom / managed network strength,"Network/security OEM integrator hypothesis, not IOM prime proof",Low-medium,S1,https://apfs-cloud.dhs.gov/record/73117/public-print/
11,Sabre Systems,Self,MAS 54151HACS + 54151S; NAVAIR digital/cyber scale; public USCG/DHS claims,"Must close recent 24x7 USCG SOC/CSSP proof, transition evidence, and FFP staffing model",GS-35F-366BA with 54151HACS + 54151S,Pursue as prime conditionally; add cyber-ops anchor and transition evidence before hard bid authorization,High,S27;S28;S43;S44;S45;S46,https://www.gsaelibrary.gsa.gov/ElibMain/home.do/contractorInfo.do?contractNumber=GS-35F-366BA; https://www.gsa.gov/technology/it-contract-vehicles-and-purchasing-programs/multiple-award-schedule-it/highly-adaptive-cybersecurity-services; https://www.sabresystems.com/sabre-systems-inc-awarded-airworks-cyber-contract-under-ais-joint-venture/; https://www.war.gov/News/Contracts/Contract/Article/4314128/contracts-for-sep-24-2025/; https://www.sabresystems.com/federal-civilian/; https://www.sabresystems.com/quality/
