ID,Program,Prime,Status,IOM Seam / Relevance,Award / Forecast ID,Value / Term,Scope,Confidence,Source Refs,Source URL
1,Tactical and Remote C5I Edge Systems (TARCES),SMARTRONIX,Forecast / late FY26,"Engineering, network administration, cybersecurity support for tactical communications and intelligence systems under oLSI.",N00421-22-D-0005,$100M - $200M / SeaPort / RFP 1-Oct-25 / Award 22-May-26,"RAPID Capability Engineering Group / NAWCAD WOLF / Special Comms Mission Solutions Div - C5I / cyber / tactical comms. Engineering, network administration, cybersecurity support for tactical communications and intelligence systems under oLSI.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
2,SAIW Small UAS Reusable Architecture,Render Security Engineering,Forecast / small business,"System engineering, evaluation, cybersecurity, and project management support for SUAS reusable architecture.",N00421-19-9-0001 / N68335-21-9-0002,$10M - $50M / SeaPort / RFP 26-Feb-26 / Award 22-Jun-26,"NAWCAD WOLF / Ship & Air Integrated Warfare Div - UAS / systems engineering / cyber. System engineering, evaluation, cybersecurity, and project management support for SUAS reusable architecture.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
3,PMA-209 Contractor Support Services,Precise Systems,Forecast / small business,"PM, admin, BFM, security, TS/SCI SME support for PMA-209 IPTs and aircraft integration / comms / mission systems.",N00421-18-D-0044 / N00421-20-F-1091,$50M - $100M / SeaPort / RFP 22-Dec-25 / Award 30-Jun-26,"PEO(T) / Air Combat Electronics Program Office - Program support / avionics / TS-SCI. PM, admin, BFM, security, TS/SCI SME support for PMA-209 IPTs and aircraft integration / comms / mission systems.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
4,PMA-275 Program Management Contractor Support,StraCon,Forecast / small business,Follow-on CSS PM support at PMA-275.,N00421-18-D-0054,$50M - $100M / SeaPort / RFP 23-Apr-25 / Award 1-Jul-26,PEO(A) / V-22 Osprey Program Office - Program support / V-22. Follow-on CSS PM support at PMA-275.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
5,IC2&IS Kitting,New Requirement,Forecast / unrestricted,"Rapid design, fabrication, and installation of C5ISR platform capability enhancements.",New Requirement,$100M - $200M / SeaPort / RFP 13-Jun-25 / Award 7-Jul-26,"NAWCAD WOLF / Integrated Command, Control and Intel Systems Div - C5ISR fabrication / installation. Rapid design, fabrication, and installation of C5ISR platform capability enhancements.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
6,IC2&IS Exterior Communications (EXCOMM) XI,BAE Systems,Forecast / unrestricted,"Engineering and installation services for C5ISR systems, shipboard radios, and airborne communications under oLSI.",N00421-21-D-0018,$200M - $500M / SeaPort / RFP 8-Oct-25 / Award FY26 QTR4,"NAWCAD WOLF / IC2&IS Div - Shipboard and airborne communications. Engineering and installation services for C5ISR systems, shipboard radios, and airborne communications under oLSI.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
7,Software Application Solutions and Support Services,Spalding Consulting,Forecast / small business,"Day-to-day operations, development, sustainment, and management of software applications and technologies.",N00178-19-D-8547 / N00421-21-F-3002,$200M - $500M / SeaPort / RFP 20-May-25 / Award FY26 QTR4,"DAiTA Group / Applications Integration and Business Intelligence Div - Software / BI / app sustainment. Day-to-day operations, development, sustainment, and management of software applications and technologies.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
8,Navy SBIR Contractor Support Service Contract,SciTech,Forecast / small business,"Program management, analysis, administrative, and technical support across NAVAIR, NAVSEA, and NAVWAR SBIR/STTR/RIF PMOs.",N0042-12-D-0006,$10M - $50M / SeaPort / RFP 11-Dec-25 / Award FY26 QTR4,"SBIR / STTR / RIF Program Management Offices - Innovation program support. Program management, analysis, administrative, and technical support across NAVAIR, NAVSEA, and NAVWAR SBIR/STTR/RIF PMOs.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
9,NBO NERP Support Contract Follow On,Zenetex,Forecast / unrestricted,"Navy ERP Business Office and General Fund Business Office support, reporting, analysis, user management, and operational support.",N00421-21-D-0015,$200M - $500M / SeaPort / RFP 13-Jan-26 / Award FY26 QTR4,"NAVAIR Command Operations Office / Technology and Strategic Operations Office - ERP / business systems. Navy ERP Business Office and General Fund Business Office support, reporting, analysis, user management, and operational support.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
10,Special Communication Rapid Integration Facility (SCRIF),BAE Systems,Forecast / unrestricted,"Rapid prototyping, integration, and fielding of special communications systems.",N00421-22-D-0001,$100M - $200M / SA IDIQ / RFP 25-Mar-26 / Award FY26 QTR4,"NAWCAD WOLF / Special Comms Mission Solutions Div - Rapid prototyping / special comms. Rapid prototyping, integration, and fielding of special communications systems.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
