"ID","Person","Organization / Side","Public Role","Proximity","Currentness","Application Arsenal / Ecosystem Connection","Confidence","Source Date","Source URL"
"AA-P-001","John Barrie","NIWC Pacific","Division Head, Code 532","Direct technical chain","Current","Closest publicly named current technical leader above the division portfolio that explicitly includes Application Arsenal, OSA, MAGIC, TAF, and related Navy Digital Ecosystem capabilities.","High","2026-05-20","https://www.ndia-sd.org/wp-content/uploads/2026/06/532-Overview-Brief.pdf; https://www.ndia-sd.org/event/sb-committee-meeting-may-20/"
"AA-P-002","Corbin C. Walters","NIWC Pacific","Contract Specialist; primary N66001-26-R-3507 POC","Direct procurement","Current","Primary public procurement contact for the active Application Arsenal follow-on competition.","Very high","2026-08-31","https://sam.gov/opp/b97c5c5becf542398697517bff5e0be2/view"
"AA-P-003","Jose M. Neto","NIWC Pacific","Small Business Professional; secondary N66001-26-R-3507 POC","Direct procurement","Current","Secondary public solicitation contact and small-business interface for the active Application Arsenal competition.","High","2026-08-31 / 2026-05-07","https://sam.gov/opp/b97c5c5becf542398697517bff5e0be2/view; https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf"
"AA-P-004","Jason Samarin","PMW 160","Principal Assistant Program Manager, Platform Application Services","Closest public sponsor","Current-recent; revalidate","Closest publicly named PMW 160 sponsor above ACS, Application Integration, and Application Arsenal. Continuity after the 2025 source is not publicly confirmed.","Medium","2025-06","https://www.ticketsource.com/pmw-160/pmw-160-industry-day/e-beyzjd"
"AA-P-005","Johnathan Gorbea","NIWC Pacific","IT Specialist and Agile Core Services subject-matter expert","Direct technical ecosystem","Dated; revalidate","Publicly identified ACS expert for fleet implementation and training. ACS is a sibling and delivery dependency of Application Arsenal within OSA.","High","2024-10-17","https://www.dvidshub.net/news/483389/navwar-empowers-fleet-sailors-and-first-responders-with-custom-systems-training"
"AA-P-006","Michael Lee","NIWC Pacific","MTC2 Lead Engineer","Adjacent delivery interface","Dated; revalidate","Led adjacent over-the-air application deployment work with PMW 150/160, indicating relevant fleet delivery-interface knowledge.","High","2024-03-14","https://www.niwcpacific.navy.mil/Media/Press-Releases/Article-Display/Article/3707748/niwc-pacific-empowers-sailors-to-perform-first-sailor-capable-install/"
"AA-P-007","Johanna L. Flores","NIWC Pacific","Deputy Project Manager, Collaborative Software Armory, MAGIC, and Application Arsenal","Direct program lineage","Historical","Direct historical Government Application Arsenal and OSA project-management continuity.","High","2021-07-23","https://www.dvidshub.net/image/6753882/navwar-launches-first-secret-level-devsecops-pipeline"
"AA-P-008","Bridget Lee","NIWC Pacific / Application Arsenal","Former Deputy Project Manager and Senior Program Manager for Application Arsenal","Direct program lineage","Historical; self-reported","Direct historical Application Arsenal project-management experience. Role history is self-reported and should not be treated as current Government authority.","Medium","Profile accessed 2026-09","https://www.linkedin.com/in/bridgetrushton"
"AA-P-009","Katy Boehme","PMW 160","Program Manager, Tactical Afloat Networks Program Office","Direct sponsor lineage","Historical","PMW 160 program manager during the Navy's first Application Arsenal deployment and public spokesperson for its operational purpose.","High","2021-08-19","https://www.navy.mil/Press-Office/News-Stories/Article/2735561/navwar-deploys-the-navys-first-application-arsenal/"
"AA-P-010","Brian Miller","PMW 160","Principal Assistant Program Manager, Platform Application Services","Direct sponsor lineage","Historical","Publicly tied Application Arsenal to the operational distribution component of Navy DevSecOps.","High","2021-08-19","https://www.navy.mil/Press-Office/News-Stories/Article/2735561/navwar-deploys-the-navys-first-application-arsenal/"
