"ID","Person / Node","Entity","Type","Public Role / Relationship","Connection / Evidence","AA / NIWC PAC Relevance","Confidence","Source Date","Source URL"
"FS-001","Forward Slope Inc.","Forward Slope Inc.","Company lineage","Original contractor identity","Company profile says Forward Slope was established in 2002 and provides technology/professional services for U.S. government customers.","Corporate lineage","High","Current page, established 2002","https://www.forwardslope.com/about-fsi"
"FS-002","NIWC Pacific Code 532 vehicle","Forward Slope Inc.","Contract vehicle","Prime vehicle","Forward Slope publicly lists NIWC Systems Center Pacific Code 532 C4I Software Applications and Databases contract N66001-18-D-0136.","Strong NIWC / C2 adjacency","High","Current contract-vehicles page","https://www.forwardslope.com/contract-vehicles"
"FS-003","NIWC Pacific Code 536 vehicle","Forward Slope Inc.","Contract vehicle","Prime vehicle","Forward Slope publicly lists NIWC Systems Center Pacific Code 536 C2 Technology and Experimentation contract N66001-19-D-0058.","Strong NIWC / C2 adjacency","High","Current contract-vehicles page","https://www.forwardslope.com/contract-vehicles"
"FS-004","PEO C4I Storefront","Accelint Global Inc. / Forward Slope lineage","Award trail","Historical predecessor order","USAspending lists delivery order 0006 for PEO C4I Storefront, awarded by NIWC Pacific, signed 2015-12-30, $4.39M obligated, parent N66001-12-D-0111.","Direct AA / NIWC PAC","High","2015-12-30 award","https://www.usaspending.gov/award/CONT_AWD_0006_9700_N6600112D0111_9700/"
"FS-005","PEOC4I Storefront / Application Arsenal","Accelint Global Inc. / Forward Slope lineage","Award trail","AA support order","USAspending lists N6600119F6173 for PEOC4I Storefront/Application Arsenal and Navy Net-Centric Application Support, awarded/funded by NIWC Pacific, 2019-2023, $9.06M obligated, parent N66001-18-D-0136.","Direct AA / NIWC PAC","High","2019-04-04 award","https://www.usaspending.gov/award/CONT_AWD_N6600119F6173_9700_N6600118D0136_9700/"
"FS-006","PEOC4I Storefront / Application Arsenal","Accelint Global Inc. / Forward Slope lineage","Award trail","Current AA support order","USAspending lists N6600123F3509 for PEOC4I Storefront/Application Arsenal and Navy Net-Centric Application Support, awarded/funded by NIWC Pacific, 2023-2027, $20.17M obligated, parent N00178-21-D-9078.","Direct AA / NIWC PAC","High","2023-03-23 award","https://www.usaspending.gov/award/CONT_AWD_N6600123F3509_9700_N0017821D9078_9700/"
"FS-007","Application Arsenal recompete","NIWC Pacific / Forward Slope lineage","Opportunity trail","Follow-on acquisition signal","The 2026 NIWC Pacific acquisition forecast lists Application Arsenal Enterprise Engineering and Lifecycle Support, RFP N66001-26-R-3507, follow-on to N00178-21-D-9078/N6600123-F-3509, Forward Slope Inc, estimated award Jan. 2027.","Direct AA recompete","High","2026-05-07 deck","https://www.ndia.org/events/2026/5/7/4900---ndia-san-diego-post-budget-conference"
"FS-008","Corbin C. Walters / Jose M. Neto","NIWC Pacific","Government POC","Public solicitation POCs","SAM.gov AA recompete notice N66001-26-R-3507 names Corbin C. Walters and Jose M. Neto as public procurement contacts.","Direct AA recompete","High","2026 SAM notice","https://sam.gov/opp/b97c5c5becf542398697517bff5e0be2/view"
"FS-009","Trive Capital","Trive Capital / Forward Slope","Ownership sponsor","Private equity sponsor","Forward Slope's SoarTech acquisition announcement says Forward Slope was backed by Trive Capital; public reporting and SEC filings place Trive control/backing in the 2022 platform period.","Corporate lineage","Medium","2022-2023","https://www.forwardslope.com/news/forward-slope-inc-completes-acquisition-soar-technology-inc; https://www.sec.gov/Archives/edgar/data/2132582/000119312526314602/d23330ds1.htm"
"FS-010","Soar Technology Inc.","Forward Slope Inc.","Acquisition target","AI / autonomy company acquired by FSI","Forward Slope completed the acquisition of SoarTech in Aug. 2023, adding AI, data analytics, autonomous systems, and human-machine teaming capabilities.","Corporate lineage","High","2023-08-25","https://www.forwardslope.com/news/forward-slope-inc-completes-acquisition-soar-technology-inc"
"FS-011","Carlos Persichetti","Forward Slope Inc.","Executive contact","CEO at SoarTech acquisition","Carlos Persichetti is quoted as Forward Slope CEO in the SoarTech acquisition announcement.","Executive context","High","2023-08-25","https://www.forwardslope.com/news/forward-slope-inc-completes-acquisition-soar-technology-inc"
"FS-012","Mike van Lent","Soar Technology Inc.","Executive contact","CEO at SoarTech acquisition","Mike van Lent is quoted as CEO of SoarTech in the Forward Slope acquisition announcement.","Executive context","High","2023-08-25","https://www.forwardslope.com/news/forward-slope-inc-completes-acquisition-soar-technology-inc"
