ID,Entity,Tier,Recommended Posture,Power Base,Gap / Vulnerability,Vehicle,Confidence,Source Refs,Source URL
1,SMARTRONIX,Public incumbent,Potential incumbent knowledge for NAWCAD WOLF C5I edge systems.,Current incumbent listed for TARCES - C5I edge / cybersecurity / tactical comms,$100M - $200M TARCES forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
2,Render Security Engineering,Public incumbent,Potential small-business incumbent in SUAS architecture and cybersecurity support.,Current incumbent listed for SAIW SRA - Small UAS reusable architecture / cyber,$10M - $50M SRA forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
3,Precise Systems,Public incumbent,Current program support footprint in Air Combat Electronics.,Current incumbent listed for PMA-209 CSS - PMA support / avionics / TS-SCI SME,$50M - $100M CSS forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
4,StraCon,Public incumbent,"Current support footprint around V-22/Osprey, Advanced Tactical Aircraft Protection Systems, and Naval Undergraduate Flight Training Systems PMAs.","Current incumbent listed for PMA-275, PMA-272, and PMA-273 support - V-22, tactical aircraft protection, and training aircraft program support",Multiple $10M - $100M PMA support forecast rows,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
5,BAE Systems,Public incumbent,Large recurring incumbent footprint in NAWCAD WOLF communications and integration work.,"Current incumbent on EXCOMM XI, SCRIF, and Aegis VIII - C5ISR integration / special comms / radio systems",Multiple $100M+ to $500M-class forecast rows,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
6,Spalding Consulting,Public incumbent,Strong small-business signal in NAWCAD software/application sustainment and WOLF project support.,Current incumbent on software application support and SAIW/ASI support rows - Software apps / BI / technical PM,$200M - $500M software support plus SAIW/ASI follow-ons,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
7,SciTech,Public incumbent,Incumbent around NAVAIR/NAVSEA/NAVWAR innovation-program support.,Current incumbent listed for Navy SBIR Contractor Support - Innovation program support,$10M - $50M SBIR/STTR/RIF support forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
8,Zenetex,Public incumbent,Enterprise business/ERP support incumbent signal.,Current incumbent listed for NBO NERP support - ERP / business systems / operations,$200M - $500M NBO NERP follow-on,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
9,Amentum Services,Public incumbent,Major aircraft sustainment and training-aircraft logistics incumbent.,Current incumbent listed for T-6/T-34 CLS re-compete - Aircraft contractor logistics support,$500M - $1B CLS forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
10,Tekla Research,Public incumbent,Current PMA-226 support footprint.,Current incumbent listed for PMA-226 PM support - Program support / specialized aircraft,$50M - $100M follow-on,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
11,American Electronic Warfare Associates,Public incumbent,"Strong signal in battlespace modeling, simulation, software and SME support.",Current incumbent for Battlespace M&S - Modeling / simulation / software,$200M - $500M FY27/FY28 forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
12,Resource Management Concepts / MIL Corp,Public incumbent,Named current incumbents/contracts for planned Cyber Warfare Department consolidation.,Current contracts feeding Cyber Warfare Services IDIQ consolidation - Cyber warfare services,$200M - $500M FY27 forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
13,PSI Pax,Public incumbent,Small-business project/integration and enterprise service signal.,Current incumbent listed for CI&IDS and business enterprise support rows - Project support / business enterprise / integration,$10M - $50M and $100M - $200M forecast rows,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
14,Sierra Management & Technologies,Public incumbent,Kitting and supply-chain support seam.,Current incumbent for Central Kiting Activity follow-on - Central kitting / aircraft logistics,$10M - $50M forecast row,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
15,Avian,Public incumbent,T&E training and workforce development incumbent.,Current incumbent for College of Test and Evaluation follow-on - T&E training / career development,$10M - $50M forecast row,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
16,Altus Technical Solutions,Public incumbent,Incumbent in WOLF organic engineering and rapid prototyping support.,"Current incumbent listed for Organic Engineering, Prototyping, and Fabrication - Rapid engineering / prototyping / production",$50M - $100M WOLF forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
17,Aviation Systems Engineering Corporation,Public incumbent,Engineering and program-management support footprint across PEO(A) and PEO(U&W) seams.,Current incumbent listed for PMA-290 and WPM-281 rows - Technical engineering / strike-planning PM support,$200M - $500M PMA-290 plus $20M - $50M WPM-281 rows,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
18,Perrygo / PSI Pax / DESI,Public incumbent,Multi-incumbent enterprise business-service support seam around Digital Networks and Applications.,Current incumbents listed for Business Enterprise Service Support - Enterprise business services / service desk / integration,$100M - $200M DAiTA DNA forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
19,The MIL Corporation,Public incumbent,"Incumbent signal in requirements definition, emerging technology, rapid design, integration, T&E, logistics, software, and ISEA support.",Current incumbent listed for Mission Systems Integration - Mission systems / SAIW / software / ISEA,$100M - $250M WOLF forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
20,FSG,Public incumbent,"Incumbent around secure communications engineering, VTC, cable plant, satellite communications, facility accreditation, and technical PM support.",Current incumbent listed for IC2&IS Intelligence Communications Support - Intelligence communications / secure facilities / SATCOM,$200M - $500M WOLF forecast,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
21,American Systems Corporation,Public incumbent,Incumbent signal in modeling/simulation support and NAWCAD software engineering for aircraft weapons and support systems.,Current incumbent listed for M&S systems and software engineering support - Modeling and simulation / software systems engineering,$50M - $100M and $200M - $500M forecast rows,LRAF-listed vehicle varies by row,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
