ID,Title,URL,Use
S1,NAS Patuxent River tenant profile - Naval Air Systems Command,https://ndw.cnic.navy.mil/Installations/NAS-Patuxent-River/Operations-and-Management/Tenant-Commands/NAVAIR/,"NAVAIR mission, eight competencies, affiliated PEOs, lifecycle support role, and NAE provider statement"
S2,NAVAIR Enterprise Relationships / organizational structure PDF,https://www.navair.navy.mil/sites/g/files/jejdrs536/files/document/%5Bfilename%5D/REF_NAVAIR_Org_Structure_Internal.pdf,"March 2026 command relationships, PEOs, competencies, NAWCAD, NAWCWD, COMFRC, FRCs, test wings, and support nodes"
S3,NAVAIR Long Range Acquisition Forecast page,https://www.navair.navy.mil/LRAF,Public LRAF routing page; acquisition strategies are announced in SAM.gov through normal notices
S4,NAWCAD FY26 Q3 Long Range Acquisition Forecast,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf,"Forecast opportunity rows, PCO names, values, incumbents, acquisition strategy, dates, PSC, NAICS, and set-aside posture"
S5,"Assistant Secretary of the Navy for Research, Development and Acquisition",https://www.secnav.navy.mil/rda/Pages/default.aspx,Navy Acquisition Executive mission and authority context for acquisition governance
S6,NAWCAD public command page,https://www.navair.navy.mil/nawcad,Public command landing page for aircraft division follow-on validation
S7,NAWCWD public command page,https://www.navair.navy.mil/nawcwd,Public command landing page for weapons division follow-on validation
S8,Commander Fleet Readiness Centers public command page,https://www.navair.navy.mil/comfrc,Public command landing page for FRC follow-on validation
S9,SeaPort-NxG public contract vehicle page,https://www.navsea.navy.mil/Business-Partnerships/Contracts/SeaPort-NxG/,Vehicle context for NAWCAD LRAF rows marked SeaPort
S10,NAVAIR leadership panel at Sea-Air-Space 2026,https://www.navair.navy.mil/news/Addressing-Challenges-Ahead-NAVAIR-Leadership-Discusses-Organizational-Changes-and-Industrys,"Named NAVAIR, NAWCAD, COMFRC, Rapid Capability Cell leaders and PAE / industry engagement signal"
S11,NAVAIR OSBP small business points of contact,https://www.navair.navy.mil/osbp/node/171,"Public office emails and phone numbers for NAVAIR HQ, NAWCAD, NAWCTSD, NAWCWD, and COMFRC small-business routes"
S12,PEO(A) welcomes Brig. Gen. David Walsh,https://www.navair.navy.mil/news/PEOA-Welcomes-Walsh-New-Lead-Kurtz-Retires-after-40-Years-Government-Service/Mon-07012024-1221,"PEO(A) leadership change, Gary Kurtz historical context, PEO(A) mission and 10 major program offices"
S13,PEO(U&W) welcomes Rear Adm. Tony Rossi,https://www.navair.navy.mil/news/Navy-welcomes-new-PEO-UW-leader-drive-unmanned-systems-weapons-forward/Mon-11242025-1227,"PEO(U&W) leadership change, Stephen Tedford historical context, 4,000-member team / 12-office portfolio signal"
S14,PEO(T) public organization page,https://www.navair.navy.mil/organization/PEO-T,"PEO(T) mission, 12 program office scale, PAO route, and public location context"
S15,ASN RDA PEO(U&W) public office page,https://www.secnav.navy.mil/rda/Pages/PEO_UW.aspx,Public PEO(U&W) office contact phone; leadership text is treated as stale after the 2025 NAVAIR Rossi announcement
